"","ActiveScreener.Id","Time.of.Screening","Title","Authors","Question","List.of.Reviewers","answers"
"1",NA,NA,NA,NA,NA,NA,NA
"2","7362239","06/04/2021 17:00:45","Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015","Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ","02 organization","Sanchez, Luis","Academia"
"3","7362238","05/05/2021 19:03:47","Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995–2012","Zhu, C., Tian, H., Hao, J. ","02 organization","Manzano, Carlos","Academia"
"4","7362237","06/23/2021 23:05:22","Observed aerosol and liquid water path relationships in marine stratocumulus","Zheng, X., Albrecht, B., Minnis, P.  et al.","02 organization","Sanchez, Luis","Academia"
"5","7362237","06/23/2021 23:05:22","Observed aerosol and liquid water path relationships in marine stratocumulus","Zheng, X., Albrecht, B., Minnis, P.  et al.","02 organization","Sanchez, Luis","International organization"
"6","7362236","05/13/2021 21:37:42","Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx","Zheng, X., Albrecht, B., Jonsson, H. H.  et al.","02 organization","Sanchez, Luis","Academia"
"7","7362236","05/13/2021 21:37:42","Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx","Zheng, X., Albrecht, B., Jonsson, H. H.  et al.","02 organization","Sanchez, Luis","International organization"
"8","7362235","07/12/2021 22:59:40","Global impact of atmospheric arsenic on health risk: 2005 to 2015","Zhang, L., Gao, Y., Wu, S.  et al.","02 organization","Manzano, Carlos","International organization"
"9","7362235","07/12/2021 22:59:40","Global impact of atmospheric arsenic on health risk: 2005 to 2015","Zhang, L., Gao, Y., Wu, S.  et al.","02 organization","Manzano, Carlos","Academia"
"10","7362234","06/03/2021 18:16:54","Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study","Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.","02 organization","Manzano, Carlos","Private sector"
"11","7362234","06/03/2021 18:16:54","Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study","Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.","02 organization","Manzano, Carlos","Academia"
"12","7362233","06/05/2021 15:56:33","Cost estimates of transport air pollution in Santiago, Chile","Zegras, C., Litman, T. ","02 organization","Manzano, Carlos","Private sector"
"13","7362233","06/05/2021 15:56:33","Cost estimates of transport air pollution in Santiago, Chile","Zegras, C., Litman, T. ","02 organization","Manzano, Carlos","Academia"
"14","7362233","06/05/2021 15:56:33","Cost estimates of transport air pollution in Santiago, Chile","Zegras, C., Litman, T. ","02 organization","Manzano, Carlos","International organization"
"15","7362232","07/17/2021 22:44:44","Association of acute bronchiolitis with environmental variables","Zamorano, A., Marquez, S., Aranguiz, J. L.  et al.","02 organization","Manzano, Carlos","Academia"
"16","7362231","05/04/2021 16:26:03","Urban airborne matter in central and southern Chile: Effects of meteorological conditions on fine and coarse particulate matter","Yáñez, M. A., Baettig, R., Cornejo, J.  et al.","02 organization","Sanchez, Luis","Academia"
"17","7362230","05/07/2021 00:16:43","Antarctic snow record of cadmium, copper, and zinc content during the twentieth century","Wolff, E. W., Suttie, E. D., Peel, D. A. ","02 organization","Manzano, Carlos","Academia"
"18","7362229","05/30/2021 18:39:09","Elemental composition of lichens from a remote Nothofagus forest site in southern Chile","Wiersma, G. B., Bruns, D. A., Finley, K.  et al.","02 organization","Manzano, Carlos","Academia"
"19","7362228","06/03/2021 16:15:11","Elemental composition of mosses from a remote Nothofagus forest site in southern Chile","Wiersma, G. B., Bruns, D. A., Boelcke, C.  et al.","02 organization","Sanchez, Luis","International organization"
"20","7362228","06/03/2021 16:15:11","Elemental composition of mosses from a remote Nothofagus forest site in southern Chile","Wiersma, G. B., Bruns, D. A., Boelcke, C.  et al.","02 organization","Sanchez, Luis","Academia"
"21","7362227","06/10/2021 21:37:52","Oxygen enrichment of room air to relieve the hypoxia of high-altitude","West, J. B. ","02 organization","Manzano, Carlos","Academia"
"22","7362226","04/29/2021 17:20:08","Contaminación atmosférica y salud en América Latina","Weitzenfeld, H. ","02 organization","Manzano, Carlos","International organization"
"23","7362225","07/21/2021 17:36:08","Cloudwater inputs of nitrogen to forest ecosystem in southern Chile: Forms, fluxes, and sources","Weathers, K. C., Lovett, G. M., Likens, G. E.  et al.","02 organization","Sanchez, Luis","Academia"
"24","7362224","06/11/2021 16:18:35","Atmospheric trace metal studies","Volchok, H. L., Bogen, D. C. ","02 organization","Sanchez, Luis","Academia"
"25","7362223","05/10/2021 21:04:09","Wood burning pollution in southern Chile: PM2.5 source apportionment using CMB and molecular markers","Villalobos, A. M., Barraza, F., Jorquera, H.  et al.","02 organization","Manzano, Carlos","Academia"
"26","7362222","05/07/2021 12:50:01","Chemical speciation and source apportionment of fine particulate matter in Santiago, Chile, 2013","Villalobos, A. M., Barraza, F., Jorquera, H.  et al.","02 organization","Toro, Richard","Academia"
"27","7362221","06/03/2021 22:20:51","Influence of air pollution exposure on adolescents’ objectively-measured physical activity and sedentary behavior","Viciana, Jesús, Mayorga-Vega, Daniel, Parra-Saldías, Maribel ","02 organization","Manzano, Carlos","Academia"
"28","7362220","07/05/2021 15:45:17","Duracon: Effect of the environment on reinforced concrete durability. Results of chile after 5 years of exposure","Verar, R., Villarroel, M., Delgado, D.  et al.","02 organization","Manzano, Carlos","Public sector"
"29","7362220","07/05/2021 15:45:17","Duracon: Effect of the environment on reinforced concrete durability. Results of chile after 5 years of exposure","Verar, R., Villarroel, M., Delgado, D.  et al.","02 organization","Manzano, Carlos","Academia"
"30","7362219","06/20/2021 18:03:03","Contaminación Bacteriana del Aerosol Dental con y sin Uso de una Cúpula de Acrílico en un Paciente en Pandemia COVID-19","Venegas-Arques, María Cecilia, Rojas-García, Carolina Pia, Cataldo-Saavedra, Yuri Andrés  et al.","02 organization","Manzano, Carlos","Public sector"
"31","7362217","05/19/2021 23:56:42","Changes in epiphytic lichen diversity are associated with air particulate matter levels: The case study of urban areas in Chile","Varela, Z., López-Sánchez, G., Yáñez, M.  et al.","02 organization","Sanchez, Luis","Academia"
"32","7362216","07/05/2021 15:19:47","Ecological risk communication: The case of air pollution in middle of two cities southern Chile","Vallejos-Romero, A., Oñate Ñancucheo, M. ","02 organization","Manzano, Carlos","Academia"
"33","7362213","05/28/2021 00:47:56","Effects of disturbance on the carbon dioxide balance of an anthropogenic peatland in northern Patagonia","Valdes-Barrera, A., Kutzbach, L., Celis-Diez, J. L.  et al.","02 organization","Sanchez, Luis","Academia"
"34","7362212","07/20/2021 13:57:16","Natural zeolite reactivity towards ozone: The role of compensating cations","Valdés, H., Alejandro, S., Zaror, C. A. ","02 organization","Manzano, Carlos","Academia"
"35","7362211","04/26/2021 17:57:38","Elemental concentrations of ambient particles and cause specific mortality in Santiago, Chile: A time series study","Valdés, A., Zanobetti, A., Halonen, J. I.  et al.","02 organization","Manzano, Carlos","Academia"
"36","7362210","05/13/2021 23:42:40","Geochemical features of aerosols in Santiago de Chile from time series analysis","Valdés, A., Polvé, M., Munoz, M.  et al.","02 organization","Toro, Richard","Academia"
"37","7362210","05/13/2021 23:42:40","Geochemical features of aerosols in Santiago de Chile from time series analysis","Valdés, A., Polvé, M., Munoz, M.  et al.","02 organization","Toro, Richard","Public sector"
"38","7362209","06/03/2021 18:54:34","Logistic Modeling of the Last Mile: Case Study Santiago, Chile","Urzua-Morales, J. G., Sepulveda-Rojas, J. P., Alfaro, M.  et al.","02 organization","Manzano, Carlos","Academia"
"39","7362208","06/01/2021 20:54:58","'Because in Chile [carbon] markets work!' Exploring an experimental implementation of an emissions trading scheme to deal with industrial air pollution in Santiago","Ureta, S. ","02 organization","Manzano, Carlos","Academia"
"40","7362207","07/06/2021 14:20:40","Aerosol properties and meteorological conditions in the city of Buenos Aires, Argentina, during the resuspension of volcanic ash from the Puyehue-Cordon Caulle eruption","Ulke, A. G., Brizuela, M. M. T., Raga, G. B.  et al.","02 organization","Sanchez, Luis","Academia"
"41","7362206","05/28/2021 00:56:17","Impact of proximity of thermoelectric power plants on bronchial obstructive crisis rates","Ugarte-Avilés, T., Manterola, C., Cartes-Velásquez, R.  et al.","02 organization","Sanchez, Luis","Academia"
"42","7362204","07/17/2021 23:20:15","The Antarctic ozone hole during 2015 and 2016","Tully, M. B., Klekociuk, A. R., Krummel, P. B.  et al.","02 organization","Manzano, Carlos","Academia"
"43","7362203","05/07/2021 00:07:48","Evaluation of a simplified top-down model for the spatial assessment of hot traffic emissions in mid-sized cities","Tuia, D., de Eicker, M. O., Zah, R.  et al.","02 organization","Manzano, Carlos","Academia"
"44","7362202","05/11/2021 17:31:35","Sources and diffusive air-water exchange of polycyclic aromatic hydrocarbons in an oligotrophic North-Patagonian lake","Tucca, F., Luarte, T., Nimptsch, J.  et al.","02 organization","Sanchez, Luis","Academia"
"45","7362202","05/11/2021 17:31:35","Sources and diffusive air-water exchange of polycyclic aromatic hydrocarbons in an oligotrophic North-Patagonian lake","Tucca, F., Luarte, T., Nimptsch, J.  et al.","02 organization","Sanchez, Luis","Private sector"
"46","7362201","05/06/2021 22:53:59","The composition and sources of PM2.5 organic aerosol in two urban areas of Chile","Tsapakis, M., Lagoudaki, E., Stephanou, E. G.  et al.","02 organization","Sanchez, Luis","Academia"
"47","7362201","05/06/2021 22:53:59","The composition and sources of PM2.5 organic aerosol in two urban areas of Chile","Tsapakis, M., Lagoudaki, E., Stephanou, E. G.  et al.","02 organization","Sanchez, Luis","Public sector"
"48","7362200","06/13/2021 18:03:18","Effects of environmental alerts and pre-emergencies on pollutant concentrations in Santiago, Chile","Troncoso, R., De Grange, L., Cifuentes, L. A. ","02 organization","Manzano, Carlos","Academia"
"49","7362199","05/07/2021 15:42:38","Inhalable urban atmospheric particulate matter in a semi-arid climate: The case of Santiago De Chile","Trier, A., Silva, C. ","02 organization","Sanchez, Luis","Academia"
"50","7362197","07/21/2021 21:20:52","Atmospheric extinction in Santiago, Chile","Trier, A., Horvath, H. ","02 organization","Manzano, Carlos","Academia"
"51","7362196","05/07/2021 00:24:09","A time series investigation of visibility in an urban atmosphere - I","Trier, A., Firinguetti, L. ","02 organization","Manzano, Carlos","Academia"
"52","7362195","05/07/2021 12:41:16","Submicron particles in an urban atmosphere: A study of optical size distributions .1","Trier, A. ","02 organization","Sanchez, Luis","Academia"
"53","7362194","06/02/2021 19:46:41","Observations on inhalable atmospheric particulates in Santiago, Chile","Trier, A. ","02 organization","Sanchez, Luis","Academia"
"54","7362193","04/29/2021 14:27:17","Analysis of exposure to fine particulate matter using passive data from public transport","Trewhela, B., Huneeus, N., Munizaga, M.  et al.","02 organization","Toro, Richard","Academia"
"55","7362191","07/14/2021 12:22:15","An analysis of the settling velocities for sulphate particulate in Santiago (Chile)","Toro, P. E. ","02 organization","Manzano, Carlos","Academia"
"56","7362190","05/20/2021 00:51:29","Assessment of the chemical characteristics and sources of airborne particulate matter in Santiago, Chile","Toro, P., Cortés, E. ","02 organization","Manzano, Carlos","Academia"
"57","7362190","05/20/2021 00:51:29","Assessment of the chemical characteristics and sources of airborne particulate matter in Santiago, Chile","Toro, P., Cortés, E. ","02 organization","Manzano, Carlos","Public sector"
"58","7362189","05/10/2021 20:42:24","Accuracy and reliability of Chile's National Air Quality Information System for measuring particulate matter: Beta attenuation monitoring issue","Toro, A. R., Campos, C., Molina, C.  et al.","02 organization","Sanchez, Luis","Academia"
"59","7362188","05/13/2021 22:56:54","Photochemical ozone pollution in the Valparaiso Region, Chile","Toro A., R., Seguel, R. A., Morales, Rges  et al.","02 organization","Toro, Richard","Academia"
"60","7362187","05/13/2021 23:38:02","Urban atmospheric ammonia in Santiago city, Chile","Toro A., R., Flocchini, R. G., Morales, R. G. E.  et al.","02 organization","Manzano, Carlos","Academia"
"61","7362186","06/05/2021 16:23:56","Trends and threshold exceedances analysis of airborne pollen concentrations in Metropolitan Santiago Chile","Toro A., R., Canales, M., Morales, S. R. G. E.  et al.","02 organization","Manzano, Carlos","Chilean organizations"
"62","7362186","06/05/2021 16:23:56","Trends and threshold exceedances analysis of airborne pollen concentrations in Metropolitan Santiago Chile","Toro A., R., Canales, M., Morales, S. R. G. E.  et al.","02 organization","Manzano, Carlos","Academia"
