"","X","ActiveScreener.Id","Time.of.Screening","Title","Authors","question","answers"
"1",NA,NA,NA,NA,NA,NA,NA
"2","2","8720805","02/26/2022 16:05:44","Environmental and health impacts of fine and ultrafine metallic particles: Assessment of threat scores","Goix, S., Lévêque, T., Xiong, T.-T.  et al.","Answers01","PUB"
"3","4","8720805","02/26/2022 16:05:44","Environmental and health impacts of fine and ultrafine metallic particles: Assessment of threat scores","Goix, S., Lévêque, T., Xiong, T.-T.  et al.","Answers03","LGM"
"4","5","8720805","02/26/2022 16:05:44","Environmental and health impacts of fine and ultrafine metallic particles: Assessment of threat scores","Goix, S., Lévêque, T., Xiong, T.-T.  et al.","Answers04","ECO"
"5","10","8720805","02/26/2022 16:05:44","Environmental and health impacts of fine and ultrafine metallic particles: Assessment of threat scores","Goix, S., Lévêque, T., Xiong, T.-T.  et al.","Answers09","CHE"
"6","10","8720805","02/26/2022 16:05:44","Environmental and health impacts of fine and ultrafine metallic particles: Assessment of threat scores","Goix, S., Lévêque, T., Xiong, T.-T.  et al.","Answers09","TOX"
"7","10","8720805","02/26/2022 16:05:44","Environmental and health impacts of fine and ultrafine metallic particles: Assessment of threat scores","Goix, S., Lévêque, T., Xiong, T.-T.  et al.","Answers09","CON"
"8","11","8720805","02/26/2022 16:05:44","Environmental and health impacts of fine and ultrafine metallic particles: Assessment of threat scores","Goix, S., Lévêque, T., Xiong, T.-T.  et al.","Answers10","BIE"
"9","14","8720805","02/26/2022 16:05:44","Environmental and health impacts of fine and ultrafine metallic particles: Assessment of threat scores","Goix, S., Lévêque, T., Xiong, T.-T.  et al.","Answers13","France"
"10","15","8720796","12/09/2021 21:19:02","Physicochemical characteristics, oxidative capacities and cytotoxicities of sulfate-coated, 1,4-NQ-coated and ozone-aged black carbon particles","Li, Q., Shang, J., Liu, J.  et al.","Answers01","PRI"
"11","17","8720796","12/09/2021 21:19:02","Physicochemical characteristics, oxidative capacities and cytotoxicities of sulfate-coated, 1,4-NQ-coated and ozone-aged black carbon particles","Li, Q., Shang, J., Liu, J.  et al.","Answers03","LGM"
