ActiveScreener Id;Title;Authors;List of Reviewers;Include this reference?;Characterize the organization to which the authors are affiliated?;Strategies;Study characteristics;Potential effects or impact;What is the evaluation method?;What is the contaminant or variable under study?;TEMPORAL: What is the temporal scale of the study?;SPATIAL 1:What is the spatial scale of the study?;SPATIAL 2. National or International;SPATIAL 3: What is the Chilean macro zone in which the study is developed?;Emission  source in study
7362239;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)"", ""Climate""";"""concentrations"", ""Meteorological measurements"", ""Computer Modeling"", ""Physical measurements of pollutants""";"""PHYS - Physical measurements (eg radiation)""";"""1 Year or more""";"""Regional""";"""Only national""";"""South zone"", ""Antartic""";"""Natural sources """
7362238;Global anthropogenic atmospheric emission inventory of twelve typical hazardous trace elements, 1995â€“2012;Zhu, C., Tian, H., Hao, J. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health"", ""Ecological  (animal, plants)""";"""Computer Modeling""";"""HM - heavy metals""";"""1 Year or more""";"""Global""";"""International comparisons""";"""National level(not insular or antarctic)""";"""Traffic "", ""Domestic heating / wood burning"", ""Power generation"", ""Industrial and commercial emissions """
7362237;Observed aerosol and liquid water path relationships in marine stratocumulus;Zheng, X., Albrecht, B., Minnis, P.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""International organization""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Climate""";"""concentrations"", ""Meteorological measurements"", ""Satellite approach""";"""Aerosol"", ""PM - particulate matter"", ""PHYS - Physical measurements (eg radiation)""";"""Month - to 3 months""";"""Local (rural, suburban, urban)""";"""Only national""";"""Great North""";"""Natural sources """
7362236;Observations of the boundary layer, cloud, and aerosol variability in the southeast Pacific near-coastal marine stratocumulus during VOCALS-REx;Zheng, X., Albrecht, B., Jonsson, H. H.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)"", ""International organization""";"""Information of the public"", ""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Climate""";"""Meteorological measurements"", ""Physical measurements of pollutants"", ""concentrations"", ""Satellite approach"", ""Computer Modeling""";"""PHYS - Physical measurements (eg radiation)"", ""Aerosol"", ""PM - particulate matter""";"""Month - to 3 months""";"""Regional""";"""Only national""";"""Great North""";"""Natural sources """
7362235;Global impact of atmospheric arsenic on health risk: 2005 to 2015;Zhang, L., Gao, Y., Wu, S.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Global""";"""International comparisons""";"""Central zone""";"""Industrial and commercial emissions """
7362234;Breast cancer incidence and the air pollution level in the communes of Chile: An ecological study;Zenteno, J. S., Rosende, P. F., Manzur, B. C.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Private sector"", ""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations""";"""SOx - Oxides of Sulphur"", ""PM - particulate matter"", ""O3 ozone - photochemical smog"", ""NOx - Oxides of Nitrogen (NyOx, NH3)""";"""1 Year or more""";"""Regional""";"""Only national""";"""National level(not insular or antarctic)""";"""Traffic "", ""Domestic heating / wood burning"""
7362233;Cost estimates of transport air pollution in Santiago, Chile;Zegras, C., Litman, T. ;Manzano, Carlos;"""Yes, include the reference""";"""Private sector"", ""Academia (university, institute, others)"", ""International organization""";"""Assessment of representativeness""";"""Managment, economic, legal, social""";"""Economic""";"""concentrations""";"""SOx - Oxides of Sulphur"", ""O3 ozone - photochemical smog"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""PM - particulate matter"", ""COx - Oxides of Carbon""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Traffic """
7362232;Association of acute bronchiolitis with environmental variables;Zamorano, A., Marquez, S., Aranguiz, J. L.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Exposure assessment""";"""Ambient (eg outdoor)""";"""Human health""";"""Epidemiological"", ""concentrations""";"""PM - particulate matter""";"""Season - Year""";"""Local (rural, suburban, urban)""";"""Only national""";"""Central zone""";"""Not applicable"""
7362231;Urban airborne matter in central and southern Chile: Effects of meteorological conditions on fine and coarse particulate matter;YÃ¡Ã±ez, M. A., Baettig, R., Cornejo, J.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""concentrations"", ""Computer Modeling"", ""Meteorological measurements""";"""PM - particulate matter""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone"", ""Central zone""";"""Industrial and commercial emissions "", ""Traffic "", ""Domestic heating / wood burning"""
7362230;Antarctic snow record of cadmium, copper, and zinc content during the twentieth century;Wolff, E. W., Suttie, E. D., Peel, D. A. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Global""";"""International comparisons""";"""Antartic""";"""Mining"""
7362229;Elemental composition of lichens from a remote Nothofagus forest site in southern Chile;Wiersma, G. B., Bruns, D. A., Finley, K.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Chemical composition""";"""HM - heavy metals"", ""Other""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Not applicable"""
7362228;Elemental composition of mosses from a remote Nothofagus forest site in southern Chile;Wiersma, G. B., Bruns, D. A., Boelcke, C.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""International organization"", ""Academia (university, institute, others)""";"""Laboratory study""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""Only national""";"""Austral austral""";"""Natural sources """
7362227;Oxygen enrichment of room air to relieve the hypoxia of high-altitude;West, J. B. ;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Modeling air pollution"", ""Compliance assessment"", ""Other unclassified""";"""Indoor (eg indoor, work environments)""";"""Human health""";"""concentrations""";"""Other""";"""Hours- 3 Weeks""";"""Micro-scale (indoor, workplace, residential, street canyons, critical point, etc)""";"""Only national""";"""Great North""";"""Not applicable"""
7362226;ContaminaciÃ³n atmosfÃ©rica y salud en AmÃ©rica Latina;Weitzenfeld, H. ;Manzano, Carlos;"""Yes, include the reference""";"""International organization""";"""Other unclassified""";"""Ambient (eg outdoor)""";"""Human health""";"""concentrations""";"""COx - Oxides of Carbon"", ""PM - particulate matter"", ""SOx - Oxides of Sulphur"", ""NOx - Oxides of Nitrogen (NyOx, NH3)"", ""O3 ozone - photochemical smog""";"""1 Year or more""";"""Regional""";"""International comparisons""";"""Central zone""";"""Not applicable"""
7362225;Cloudwater inputs of nitrogen to forest ecosystem in southern Chile: Forms, fluxes, and sources;Weathers, K. C., Lovett, G. M., Likens, G. E.  et al.;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Compliance assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""concentrations"", ""Chemical composition""";"""HM - heavy metals"", ""AC-Anion and cations"", ""Other""";"""1 Year or more""";"""Local (rural, suburban, urban)""";"""International comparisons""";"""South zone""";"""Natural sources """
7362224;Atmospheric trace metal studies;Volchok, H. L., Bogen, D. C. ;Sanchez, Luis;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, "", ""Exposure assessment""";"""Ambient (eg outdoor)""";"""Ecological  (animal, plants)""";"""Chemical composition"", ""concentrations""";"""HM - heavy metals""";"""1 Year or more""";"""Global""";"""International comparisons""";"""South zone"", ""Central zone"", ""Insular"", ""Great North"", ""Austral austral""";"""Not applicable"""
7362223;Wood burning pollution in southern Chile: PM2.5 source apportionment using CMB and molecular markers;Villalobos, A. M., Barraza, F., Jorquera, H.  et al.;Manzano, Carlos;"""Yes, include the reference""";"""Academia (university, institute, others)""";"""Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, """;"""Ambient (eg outdoor)""";"""Regulatory and Legal""";"""Chemical composition""";"""PM - particulate matter""";"""Hours- 3 Weeks""";"""Local (rural, suburban, urban)""";"""Only national""";"""South zone""";"""Domestic heating / wood burning"""
