Column1;Ã¯..ActiveScreener.Id;Time.of.Screening;Title;Authors;Question;List.of.Reviewers;Answers
2;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Include this reference?;Sanchez, Luis;Yes, include the reference
3;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;DUDOSO;Sanchez, Luis;No, no tengo dudas en mis respuestas
4;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Characterize the organization to which the authors are affiliated?;Sanchez, Luis;Academia (university, institute, others)
5;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Strategies;Sanchez, Luis;Analysis of causes of air pollution: Emissions, dispersion conditions, atmospheric chemistry, deposition, 
6;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Strategies;Sanchez, Luis;Modeling air pollution
7;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Strategies;Sanchez, Luis;Exposure assessment
8;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Study characteristics;Sanchez, Luis;Ambient (eg outdoor)
9;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Potential effects or impact;Sanchez, Luis;Ecological  (animal, plants)
10;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;Potential effects or impact;Sanchez, Luis;Climate
11;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;What is the evaluation method?;Sanchez, Luis;concentrations
12;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;What is the evaluation method?;Sanchez, Luis;Meteorological measurements
13;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;What is the evaluation method?;Sanchez, Luis;Computer Modeling
14;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;What is the evaluation method?;Sanchez, Luis;Physical measurements of pollutants
15;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;What is the contaminant or variable under study?;Sanchez, Luis;PHYS -PHYsical measurements (eg radiation)
16;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;TEMPORAL: What is the temporal scale of the study?;Sanchez, Luis;1 Year or more
17;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;SPATIAL 1:What is the spatial scale of the study?;Sanchez, Luis;Regional
18;7362239;06/04/2021 17:00:45;Study of the Possible Impact of the Calbuco Volcano Eruption on the Abnormal Destruction of Stratospheric Ozone over the Antarctic in Spring 2015;Zuev, V. V., Savelieva, E. S., Parezheva, T. V. ;SPATIAL 2. National or International;Sanchez, Luis;Only national
